,Facility Name,Address/Phone Number,,Services ,Age minimum,"Amenities (Golf, Swimming)",Occupancy rate,Certificate,Pricing,
,,,,,,,,,,
330,Edgewater Manor,"9555 SE Federal Hwy, Hobe Sound, FL 33455(772) 546-5800",,assisted living,,,88%,medicare and medicaid,"Daily Cost (Private Room) 
 $195
 Daily Cost (Semi-Private Room) 
 $187",
,,,,,,,,,,
331,Edward J Healey Rehabilitation and Nursing Center,"5101 West Blue Heron Blvd, Riviera Beach, FL 33418(561) 842-6111",,"Occupational Therapy
 Rehabilitation Therapy
 Skilled Nursing
 Speech Therapy
 Physical Therapy",,,86%,medicare and medicaid,"Daily Cost (Private Room) 
 $236
 Daily Cost (Semi-Private Room) 
 $236",
,,,,,,,,,,
332,Emory L Bennett Memorial Veterans Nursing Home,"1920 Mason Avenue, Daytona Beach, FL 32117(386) 274-3460",,"24 hr Onsite RN Coverage, Hospice Care, Pet Therapy, Weight Training",,,98%,medicare and medicaid,"Daily Cost (Private Room) 
 $175
 Daily Cost (Semi-Private Room) 
 $175",
,,,,,,,,,,
333,"Fort Walton Rehabilitation Center, LLC","1 Lbj Sr Drive, Fort Walton Beach, FL 32547(850) 863-2066",,"24 hr Onsite RN Coverage, HIV Care, Hospice Care, Respite, Tracheotomy",,,76a%,medicare and medicaid,"Daily Cost (Private Room) 
 $160
 Daily Cost (Semi-Private Room) 
 $155",
,,,,,,,,,,
334,Fountains Nursing Home Inc.,"3800 N Federal Hwy, Boca Raton, FL 33431(561) 395-7510",,"Colostomy
 Tube feedings
 Wound care
 Oxygen therapy
 Orthopedic post-surgical restorative care
 Respite care
 Short-term rehabilitation services
 Hospice services, Dietitian services
 Physical, occupational and speech therapies",,"24-hour skilled nursing care
 Staff specially trained in geriatric care
 Affiliation agreements with area hospitals
 Social work services available
 Semi-private rooms
 Nurse-call system in all bedrooms and bathrooms
 Spacious living, dining and activity rooms
 Telephone service available in each room
 Complete laundry and housekeeping services
 Cable television service available in each room
 e
 A variety of social and activity programs
 Beauty shop and barber services
 Religious services available with area clergy
 Field trips in our wheelchair-accessible van
 Pet therapy
 Reciprocal program",73%,medicare and medicaid,"Daily Cost (Private Room) 
 $235
 Daily Cost (Semi-Private Room) 
 $220",
,,,,,,,,,,
335,Ft Lauderdale Health & Rehabilitation Center,"2000 East Commercial Blvd, Fort Lauderdale, FL 33308(954) 771-2300",,"skilled care, rehab, traditional care, respite care, hospice care",,,85%,medicare and medicaid,"Daily Cost (Private Room) 
 $210
 Daily Cost (Semi-Private Room) 
 $190",
,,,,,,,,,,
336,Gardens Court,"3803 Pga Boulevard, Palm Beach Gardens, FL 33410(561) 626-1125",,"nursing care, home care, Alzheimer’s care, in-home nursing care, rehabilitation or recovery help",,,67%,medicare and medicaid,"Daily Cost (Private Room) 
 $442
 Daily Cost (Semi-Private Room) 
 $285",
,,,,,,,,,,
337,Glen Oaks Health Care Center,"1100 Pine ST, Clearwater, FL 33756(727) 442-7106",,"Physical Therapy
 Restoring, maintaining, and promoting overall health and improving strength and coordination as well as reducing overall physical disabilities.
 Occupational Therapy
 Helping to promote independence with activities of daily living.
 Speech Therapy
 Providing treatment for a wide variety of speech, language, voice and swallowing disabilities.
 Diagnoses and Conditions include:
 Parkinson’s Disease
 Pain Management
 Wound Care
 Post Surgical Care
 Osteoarthritis
 Fractures and Soft Tissue conditions
 Stroke and other Neurological conditions
 Cardiovascular or Neuromuscular disorders
 Hip, Knee, and Back Surgery, Hospice Care
 Dialysis Care
 Bariatric Programs
 Respiratory Services
 Nutrition Services
 Diabetes Care
 Restorative Nursing Services
 Palliative Care
 Cardiac Care
 Wound Care
 Dementia & Alzheimer Care
 Nutrition Counseling
 Stroke Rehabilitation
 IV Therapy
 Vital Stim® Therapy
 Surgical Recovery
 Outpatient Rehabilitative Services",,,79%,medicare and medicaid,"Daily Cost (Private Room) 
 $205
 Daily Cost (Semi-Private Room) 
 $190",
,,,,,,,,,,
338,Good Samaritan Society-Daytona,"325 S Segrave Street, Daytona Beach, FL 32114(386) 253-6791",,"Rehab/skilled care
 Memory care
 Hospice care (Skilled care)
 Post-acute rehabilitation services",,"chapel, prayer garden",76%,medicare and medicaid,"Daily Cost (Private Room) 
 $203
 Daily Cost (Semi-Private Room) 
 $187",
,,,,,,,,,,
339,Grand Boulevard Health and Rehabilitation Center,"138 Sandestin Lane, Miramar Beach, FL 32550(850) 267-2887",,Assistive Care Services,,,68%,medicare and medicaid,"Daily Cost (Private Room) 
 $240
 Daily Cost (Semi-Private Room) 
 $210",
,,,,,,,,,,
340,Grand Oaks Health and Rehabilitation Center,"3001 Palm Coast Parkway SE, Palm Coast, FL 32137(386) 446-6060",,"24 hr Onsite RN Coverage, Hospice Care, Respite, Tracheotomy",,,98%,medicare and medicaid,"Daily Cost (Private Room) 
 $200
 Daily Cost (Semi-Private Room) 
 $185",
,,,,,,,,,,
341,Groves Center,"512 S 11Th ST, Lake Wales, FL 33853(863) 676-850",,24-hour healthcare and assistance,,,93%,medicare and medicaid,"Daily Cost (Private Room) 
 $207
 Daily Cost (Semi-Private Room) 
 $198",
,,,,,,,,,,
342,Gulf Coast Village Care Center,"1333 Santa Barbara Blvd, Cape Coral, FL 33991(239) 772-1333",,"assisted living, independent living, health care, rehab, wellness",,"physical activity, social interaction, meditation garden",95%,medicare and medicaid,"aily Cost (Private Room) 
 $284
 Daily Cost (Semi-Private Room) 
 $241",
,,,,,,,,,,
343,Gulf Shore Rehabilitation and Nursing Center,"6767 86Th Ave N, Pinellas Park, FL 33782(727) 548-5566",,"Dental
 Dermatology, skilled nursiung, occupational physical and speech threapy",,,93%,medicare and medicaid,"Daily Cost (Private Room) 
 $225
 Daily Cost (Semi-Private Room) 
 $195",
,,,,,,,,,,
344,Hamlin Place,"2180 Hypoluxo Road, Lantana, FL 33462(561) 582-6711",,"Physical Therapy,Wound Care Team
 Hospice Care and Services
 Dental, Optometry, and Podiatry Services
 Occupational Therapy
 Speech Therapy
 Orthopedic Surgeon Consultation
 Cardiologist Consultation
 Nursing Services
 Wound Care Specialists
 Registered Dietitian / Dietetic Tech
 Restorative Nursing
 Pain Management
 Recreational Activities
 Social Services and Discharge Planning
 Attending Physician
 Consultant Pharmacist
 Additional services:
 website pic18
 Physiatry
 IV antibiotic therapy
 Transportation arrangements
 Dentist
 Optometric Services
 Psychiatry
 Psychology and Professional Counseling
 Podiatry Services",,,88%,medicare and medicaid,"Daily Cost (Private Room) 
 $250
 Daily Cost (Semi-Private Room) 
 $225",
,,,,,,,,,,
345,Harbourwood Health and Rehabilitation Center,"549 Sky Harbor DR, Clearwater, FL 33759(727) 724-6800",,"24-hour Nursing Care
 IV Therapy
 Respiratory Services
 Wound Care
 Medication Management
 Physical Therapy
 Occupational Therapy
 Speech Therapy",,"baseball, bowling, and golf., Nintendo Wii Game System",92%,medicare and medicaid,"Daily Cost (Private Room) 
 $220
 Daily Cost (Semi-Private Room) 
 $195",
,,,,,,,,,,
346,Harts Harbor Health Care Center,"11565 Harts Road, Jacksonville, FL 32218(904) 751-1834",,"24-hour skilled nursing care
 Comprehensive rehabilitation services
 Physical, Occupational and Speech therapies
 “Your Journey Home” rehabilitation program
 Alzheimer’s and dementia care
 Care for medically-complex patients",,,93%,medicare and medicaid,"Daily Cost (Private Room) 
 $220
 Daily Cost (Semi-Private Room) 
 $215",
,,,,,,,,,,
347,Hawthorne Health and Rehabilitation of Ocala,"4100 SW 33Rd Ave, Ocala, FL 34474(352) 237-7776",,"rehab, Independent Living with Assistance, respite care",,"Spacious rooms with cathedral ceilings
 Cable TV
 Luscious landscaped courtyards
 Beauty shop
 Beautiful furnishings for every room
 Personal physician
 Licensed nurses 24 hours a day
 Certified nursing assistants
 Highly qualified physical, occupational, and speech therapists
 Specialty diets by registered dietician
 Social services
 Full-time activity director
 Recreational programs that include outings
 Memory neighborhood with specialized programming",88%,medicare and medicaid,"Daily Cost (Private Room) 
 $205
 Daily Cost (Semi-Private Room) 
 $185",
,,,,,,,,,,
348,Health Center of Daytona Beach,"550 National Healthcare Drive, Daytona Beach, FL 32114(386) 257-6362",,"physical, speech, occupational, medical nutritional therapy, nursing care, outpatient rehab,",,,,medicare and medicaid,,
,,,,,,,,,,
349,Health Center of Pensacola,"8475 University Parkway, Pensacola, FL 32514(850) 474-125",,"Physical Therapy
 Occupational Therapy
 Speech Therapy, General Medical Conditions
 Cardiac Procedures and Disorders
 Strokes and Related Disorders
 Orthopedic Injuries and Procedures, long term care",,,92%,medicare and medicaid,"Daily Cost (Private Room) 
 $300
 Daily Cost (Semi-Private Room) 
 $240",
,,,,,,,,,,
350,Heartland Health Care Center Kendall,"9400 SW 137Th Avenue, Kendall, FL 33186(305) 385-8290",,"Short-Term Rehab, In-house physical, occupational and speech therapies
 Social services
 Long-Term Residential Care",,"Home-like atmosphere
 Homemade meals supervised by a registered dietitian
 Elegantly appointed dining rooms
 Room service
 Snacks
 Internet café (computers and coffee shop)
 Wi-Fi
 Special arrangements for private functions and parties
 Inviting lounges and activity areas
 Dedicated, caring staff
 Activities, entertainment and excursions
 Leisure time—geared more for those planning to return home
 Happy hour
 Personal laundry and linen service
 Religious services
 Residents’ council
 Volunteer program",,medicare and medicaid,,
,,,,,,,,,,
351,Heartland of Tamarac,"5901 NW 79Th Avenue, Tamarac, FL 33321(954) 722-7001",,"Orthopedic injuries and total joint replacement
 Cardiac recovery
 Stroke and neurological recovery
 Chronic disease management
 Wound care
 Pulmonary issues
 Oncology care",,"Attractive and comfortable rooms
 Homemade meals and snacks supervised by a registered dietitian
 Elegantly appointed dining room
 Special arrangements for private functions
 Inviting lounges and activity areas
 Planned activities, entertainment and excursions
 Personal laundry and linen service",95%,medicare and medicaid,"Daily Cost (Private Room) 
 $224
 Daily Cost (Semi-Private Room) 
 $204",
,,,,,,,,,,
352,Heartland of Zephyrhills,"38220 Henry DR, Zephyrhills, FL 33540",,"Orthopedic injuries
 Total joint replacements
 Cardiac recovery and complications
 Stroke and neurological recovery
 Oncology care
 Complex medical conditions",,"Attractive and comfortable rooms
 Homemade meals and snacks supervised by a registered dietitian
 Elegantly appointed dining room
 Special arrangements for private functions
 Inviting lounges and activity areas
 Planned activities, entertainment and excursions
 Personal laundry and linen service",,,,
,,(813) 788-7114,,,,,,,,
,,,,,,,,,,
353,Heritage Healthcare & Rehabilitation Center,"777 9Th ST N, Naples, FL 33940(239) 261-8126",,"Physical Therapy
 Occupational Therapy
 Speech Language Pathology
 Compliance and Regulatory Support
 MDS Nurse Consulting",,,98%,medicare and medicaid,"Daily Cost (Private Room) 
 $214
 Daily Cost (Semi-Private Room) 
 $204",
,,,,,,,,,,
354,Inn at Sarasota Bay Club,"1303 North Tamiami Trail, Sarasota, FL 34236(941) 953-6949",,"dental, dietiary, mental health, physical, occupational and speech therapy, physician, podiatry, pharmacy",,,83%,medicare and medicaid,"Daily Cost (Private Room) 
 $349
 Daily Cost (Semi-Private Room) 
 $245",
,,,,,,,,,,
355,Jackson Memorial Long Term Care Center,"2500 NW 22Nd Ave, Miami, FL 33142(786) 466-3000",,"24/7 Emergency
 Bariatric (Weight-Loss) Surgery
 Bloodless Medicine/Surgery
 Breast Health
 Burn Care
 Cardiology
 Dermatology
 Digestive Health
 Ear, Nose & Throat
 Endocrinology
 Endovascular Surgery
 Fetal Therapy
 Gynecology
 Geriatrics
 Heartburn Surgery
 HIV/AIDS
 Hyperbaric Medicine
 Intensive Care
 Mental & Behavioral Health
 Neonatology
 Nephrology
 Neurology/Neurosurgery
 Obstetrics (Maternity)
 Oncology (Cancer)
 Ophthalmology
 Orthopaedics
 Palliative Care
 Pediatrics
 Pharmacy
 Plastic Surgery
 Podiatry
 Primary Care
 Pulmonology
 Radiology
 Rape Treatment
 Rehabilitation
 Rheumatology
 Stroke
 Transplant
 Trauma
 Urology
 Wound Care
 > All Specialties",,,,medicare and medicaid,,
,,,,,,,,,,
356,Jacksonville Nursing and Rehabilitation Center,"4134 Dunn Avenue, Jacksonville, FL 32218(904) 766-2297",,"dietiary, mental health, physical, occupational and speech therapy, physician, podiatry, pharmacy",,,82%,medicare and medicaid,"Daily Cost (Private Room) 
 $188
 Daily Cost (Semi-Private Room) 
 $179",
,,,,,,,,,,
357,John Knox Village Medical Center-Orange City,"901 Veteran'S Memorial Parkway, Orange City, FL 32763(386) 775-2008",,"independent living, assisted living, memory care, long term care, rehab",,"Stay active with Wii bowling, walking, table tennis, aqua fitness classes, pool aerobics, Muscles & Motion exercises, neck and back exercises, line dancing, ballroom dancing, Tai Chi.
 Stay involved with Red Hat Society, ROMEO Club, Saturday Morning Coffee Social, stage producing and acting groups, and volunteering opportunities around campus.
 Stay engaged with brain fitness and computer lab courses, book clubs, Stetson University Road Scholar Program, visiting professors’ lectures, book reviews with authors, historical studies and medical guest speakers.
 Stay connected with spiritual programs including vespers, vespers choir, men’s chorus and various support groups.",,medicare and medicaid,,
,,,,,,,,,,
358,Lake Eustis Care Center,"411 W Woodward Ave, Eustis, FL 32726(352) 357-3565",,long term care,,,93%,medicare and medicaid,"Daily Cost (Private Room) 
 $215
 Daily Cost (Semi-Private Room) 
 $190",
,,,,,,,,,,
359,Life Care Center of Melbourne,"606 E Sheridan RD, Melbourne, FL 32901(321) 727-0984",,"Life Care Physician Services
 Alzheimer's Care
 Rehabilitation
 Assisted Living
 Home Care
 Nursing Care
 Retirement Center",,,89%,medicare and medicaid,"Daily Cost (Private Room) 
 $211
 Daily Cost (Semi-Private Room) 
 $196",
,,,,,,,,,,
360,Life Care Center of Ocala,"2800 SW 41St ST, Ocala, FL 34474(352) 873-7570",,"Life Care Physician Services
 Alzheimer's Care
 Rehabilitation
 Assisted Living
 Home Care
 Nursing Care
 Retirement Center",,,93%,medicare and medicaid,"Daily Cost (Private Room) 
 $236
 Daily Cost (Semi-Private Room) 
 $208",
,,,,,,,,,,
361,Life Care Center of Punta Gorda,"450 Shreve Street, Punta Gorda, FL 33950(941) 639-877",,"long term care, rehab, senior living",,,76%,medicare and medicaid,"Daily Cost (Private Room) 
 $230
 Daily Cost (Semi-Private Room) 
 $200",
,,,,,,,,,,
362,Lisenby on Lake Caroline,"1400 W 11Th ST, Panama City, FL 32401",,"assisted living, skilled nursing",,"bingo, activities, ice-cream cart. Seasonal Holiday celebrations, both indoor and outdoor, Kaleidoscope Theater and Carmike Theaters",95%,medicaid,,
,,(850) 785-612,,,,,,,,
,,,,,,,,,,
363,Lourdes-Noreen McKeen Residence for Geriatric Care,"315 S Flagler DR, West Palm Beach, FL 33401(561) 655-8544",,"Skilled Nursing
 Assisted Living Assisted Living
 Independent Living Independent Living
 Post-Acute Care Post-Acute Care
 Memory/Dementia Care Memory/Dementia Care
 Respite Care Respite Care",,"Chair yoga, aerobics, fitness center, salon, barber shop, regularly schedule off-site adventures like yacht cruises down the Intracoastal Waterway, lunch excursions, movies, games of bridge",97%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
 $239",
,,,,,,,,,,
364,Madison Health and Rehabilitation Center,"2481 West Us 90, Madison, FL 32340(850) 973-4880",,"cardiac care, diabetic care, dialysis support, IV therapy, pain management, respiratory services, stroke care and wound management, physical occupational and speech therapy",,"Fine dining services
 Beauty shop and barber services
 Planned social and recreational activities
 Weekly religious services
 Weekly exercise programs
 Monthly planned outings
 Music, games, movies, crafts and more!",95%,medicare and medicaid,"Daily Cost (Private Room) 
 $202
 Daily Cost (Semi-Private Room) 
 $177",
,,,,,,,,,,
,,,,,,,,,,
365,Manorcare Health Services,"16200 Jog Road, Delray Beach, FL 33446(561) 638-0000",,"Skilled nursing care
 Consulting medical director
 Individualized care plans
 In-house physical, occupational and speech therapies",,"Attractive private and semi-private rooms with bath
 Home-like atmosphere
 Homemade meals supervised by a registered dietitian
 Elegantly appointed dining rooms
 Room service
 Snacks
 Internet café (computers and coffee shop)
 Wi-Fi
 Special arrangements for private functions and parties
 Inviting lounges and activity areas
 Dedicated, caring staff
 Activities, entertainment and excursions
 Leisure time—geared more for those planning to return home
 Happy hour
 Personal laundry and linen service
 Religious services
 Residents’ council
 Volunteer program",,medicare and medicaid,,
,,,,,,,,,,
366,Manor on the Green,"324 Wilder Blvd, Daytona Beach, FL 32114(386) 252-260",,skilled nursing care as well as private or shared accommodations,,,62%,medicare and medicaid,"Daily Cost (Private Room) 
 $185
 Daily Cost (Semi-Private Room) 
 $175",
,,,,,,,,,,
367,Manor Pines Convalescent Center,"1701 NE 26Th ST, Fort Lauderdale, FL 33305(954) 566-8353",,"Respiratory Therapy
 Occupational Therapy
 Speech Therapy
 Physical Therapy
 IV Therapy
 Pet Therapy
 Wound Care
 Pain Management
 Cardiac Recovery Program
 Stroke Recovery Program
 Fracture Recovery Program
 Alzheimer Disease/Dementia Care Program
 Nutrition Management
 Respite Care
 Social Services
 Beauty Salon
 Hospice Care
 Psychological Services",,,60%,medicare and medicaid,"Daily Cost (Private Room) 
 $284
 Daily Cost (Semi-Private Room) 
 $171",
,,,,,,,,,,
368,Marianna Health and Rehabilitation Center,"4295 Fifth Avenue, Marianna, FL 32446(850) 482-8091",,"24-hour registered nurse care 
 Intravenous therapy
 Physical, occupational, and speech therapy
 Restorative nursing program",,"socialization, parties, and entertainment. van trips, picnics, and many other outings.",88%,medicare and medicaid,"Daily Cost (Private Room) 
 $164
 Daily Cost (Semi-Private Room) 
 $160",
,,,,,,,,,,
369,Martin Nursing and Restorative Care Center,"6011 SE Tower DR, Stuart, FL 34997(772) 223-8777",,"physical therapy, occupational therapy, and speech therapy,",,spa services,81%,medicare and medicaid,"Daily Cost (Private Room) 
 $195
 Daily Cost (Semi-Private Room) 
 $180",
,,,,,,,,,,
370,Mary Lee Depugh Nursing Home Association Inc.,"550 W Morse Blvd, Winter Park, FL 32789(407) 644-6634",,"Clinical lab work:
 Dental health
 Dietary services
 Housekeeping service
 Mental health services
 Nursing services
 Occupational therapy
 Pharmacy servicese
 Physical therapy
 Physician services
 Podiatry",,,95%,medicare and medicaid,"Daily Cost (Private Room) 
 $200
 Daily Cost (Semi-Private Room) 
 $164",
,,,,,,,,,,
371,Mayflower Healthcare Center,"1620 Mayflower Court, Winter Park, FL 32792(407) 672-1620",,"Social, recreational and cultural programs
 Lifelong learning program with Rollins College
 Wellness Clinic",,"Formal dining room
 Casual dining Grille Room with WiFi
 Complimentary morning coffee, tea and muffins
 Private dining room/parlor
 Private catering
 Guest quarters for out-of-town visitors
 Elegant commons area and lounges
 State-of-the-art multi-purpose room for meetings, guest speakers and movies
 Computers with Internet access
 Arts and crafts areas
 Woodworking shop
 Card and game room with pool table
 Library
 Fitness Center
 Salon
 Convenience store
 Bank
 Dry cleaning services
 Landscaped grounds with koi pond
 Walking trails
 Heated swimming pool and pavilion with men’s and women’s locker rooms
 Picnic area
 Car wash area
 Walking distance to full-service shopping
 Transportation to local cultural events",95%,medicare,,
,,,,,,,,,,
372,Medicana Nursing and Rehabilitation Center,"1710 Lake Worth Road, Lake Worth, FL 33460(561) 582-5331",,"24 hr Onsite RN Coverage, Alzheimer's, Dialysis, HIV Care, Hospice Care, Pet Therapy, Respite",,,71%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
 $251",
,,,,,,,,,,
373,Metro West Nursing and Rehabilitation Center,"5900 Westgate Drive, Orlando, FL 32825(407) 296-8164",,rehab,,,85%,medicare and medicaid,"Daily Cost (Private Room) 
 $222
 Daily Cost (Semi-Private Room) 
 $209",
,,,,,,,,,,
374,Nuvista Living at Wellington Green,"10330 Nuvista Avenue, Wellington, FL 33414(561) 795-3360",,"assisted living, rehab, skilled nursing",,"Weekly housekeeping service with fresh linens and towels
 Daily tidy-up service
 Personal concierge services to help with special appointments and arrangements
 Gourmet meals served restaurant-style daily
 Complimentary transportation
 An emergency call system in every apartment
 On-site physical therapy provider",,medicare and medicaid,,
,,,,,,,,,,
375,Oak Hammock at the University of Florida Inc.,"2660 SW 53Rd LN, Gainesville, FL 32608(352) 548-1142",,"retirement living, Low vision
 • Vestibular rehabilitation
 • Hand therapy
 • Ergonomics
 • Swallowing
 • Cognition and memory
 • Home safety assessment
 • Fall prevention
 • Balance
 • Functional activities
 • Hearing aid assessment and repair.",,"fitness center, separate dining venues, a meditation room, hair salon and barber shop, shuttle service to medical facilities in Gainesville and a healthcare concierge to assist with medical appointments and other transportation needs.",83%,medicare,"Daily Cost (Private Room) 
 $278",
,,,,,,,,,,
376,Oasis Health and Rehabilitation Center,"1201 12Th Avenue South, Lake Worth, FL 33460(561) 586-7404",,"rehab, 24 hr Onsite RN Coverage, HIV Care, Hospice Care, Respite, Tracheotomy",,,88%,medicare and medicaid,"Daily Cost (Private Room) 
 $180
 Daily Cost (Semi-Private Room) 
 $165",
,,,,,,,,,,
377,Ocala Oaks Rehabilitation Center,"3930 E Silver Springs Blvd, Ocala, FL 34470(352) 236-2626",,rehab cenetr,,,96%,medicare and medicaid,"Daily Cost (Private Room) 
 $200
 Daily Cost (Semi-Private Room) 
 $185",
,,,,,,,,,,
378,"Ocean View Nursing & Rehabilitation Center, LLC","2810 South Atlantic Avenue, New Smyrna Beach, FL 32169(386) 428-6424",,"rehab, alzheimer",,,67%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
 $192",
,,,,,,,,,,
379,Osprey Point Nursing Center,"1104 North Main Street, Bushnell, FL 33513(352) 568-8777",,"Physical, Occupational, & Speech Therapy
 Vision
 Dental
 Dermatology
 Hospice
 Laboratory
 Pharmaceutical
 Podiatry
 Psychiatry
 Transportation/Van services
 Wound care
 Registered Dietician",,"Wheelchairs
 Geri-Chairs
 Medical Supplies
 Cable TV Access In Each Room
 Telephones
 Beauty / Barber Shop
 Transportation
 Outpatient rehabilitation
 Full service inpatient therapy department",95%,medicare and medicaid,"Daily Cost (Private Room) 
 $200
 Daily Cost (Semi-Private Room) 
 $180",
,,,,,,,,,,
380,Palatka Health Care Center,"110 Kay Larkin DR, Palatka, FL 32177(386) 325-0173",,"24 hr Onsite RN Coverage, Alzheimer's, Hospice Care, Pet Therapy, Respite",,,93%,medicare and medicaid,"Daily Cost (Private Room) 
 $220
 Daily Cost (Semi-Private Room) 
 $200",
,,,,,,,,,,
381,Palm Garden of Sun City,"3850 Upper Creek DR, Sun City Center, FL 33573(813) 633-2875",,"Rehabilitation Services, Nursing & Convalescent Homes, Physical Therapists, Nursing Homes-Skilled Nursing Facility",,,83%,medicare and medicaid,"Daily Cost (Private Room) 
 $250
 Daily Cost (Semi-Private Room) 
 $215",
,,,,,,,,,,
382,Palm Garden of Tampa,"3612 E 138Th Ave, Tampa, FL 33613(813) 972-8775",,nursing care,,,92%,medicare and medicaid,"Daily Cost (Private Room) 
 $205
 Daily Cost (Semi-Private Room) 
 $190",
,,,,,,,,,,
383,Palm Garden of Winter Haven,"1120 Cypress Gardens Blvd, Winter Haven, FL 33884(863) 293-3100",,"long term care, short term recovery, rehabilitation, and outpatient therapy.",,,94%,medicare and medicaid,"Daily Cost (Private Room) 
 $200
 Daily Cost (Semi-Private Room) 
 $180",
,,,,,,,,,,
384,Peninsula Care and Rehabilitation Center,"900 Beckett Way, Tarpon Springs, FL 34689(727) 934-087",,"clinical, nursing, rehab, ntensive Rehabilitation Services
 Physical, Occupational, and Speech Therapies",,"chapel, celebration of events",94%,medicare and medicaid,"Daily Cost (Private Room) 
 $215
 Daily Cost (Semi-Private Room) 
 $200",
,,,,,,,,,,
385,Pines of Sarasota,"1501 N Orange Ave, Sarasota, FL 34236(941) 365-0250",,"nursing home (skilled nursing), assisted living, Alzheimer's and rehabilitation care",,"Three fine dining restaurant style meals daily, plus snacks
 Housekeeping services Monday - Friday
 Daily activities and social programs
 TV (basic cable) and telephone
 All utilities
 Personal mail delivery
 Banking services on-site
 Therapeutic diets
 Off campus excursions",,medicare and medicaid,,
,,,,,,,,,,
386,Plantation Nursing & Rehabilitation Center,"4250 NW 5Th ST, Plantation, FL 33317(954) 587-3296",,"Medical Director, Board Certified in Geriatric Medicine
 Psychiatrists
 Regular visits from physicians and dentists
 24-Hour Nursing
 Physical, Occupational and Speech Therapists
 Respiratory Therapy
 Nutrition and Diet Therapy",,"Pet Therapy
 Laundry
 Beauty Salon and Barber Sho",70%,medicare and medicaid,"Daily Cost (Semi-Private Room) 
 $206",
,,,,,,,,,,
387,Plymouth Harbor Incorporated,"700 John Ringling Blvd, Sarasota, FL 34236(941) 365-2600",,"assisted living, home health, short term rehab",,"Full time program and events staff
 Heated swimming pool
 Heated indoor therapy pool
 Exercise and fitness room
 Fully equipped wellness center (opening in August)
 Boat dock and kayak/canoe storage
 Kayaking
 Island boardwalk
 Waterfront walkway
 Bird rookery
 Chapel
 Art studio
 Library
 Bocce ball court
 Shuffleboard court
 Woodworking shop
 Colonies area/balconies
 Bridge clubs
 Weekly programs–musical performances and lectures
 Personal gardens
 Multi-media library
 Waterfront fishing…and more",65%,medicare,"Daily Cost (Private Room) 
 $345
 Daily Cost (Semi-Private Room) 
 $310",
,,,,,,,,,,
388,Pompano Health and Rehabilitation Center,"51 W Sample Road, Pompano Beach, FL 33064(954) 942-5530",,"Post-Acute Services
 Skilled Nursing Services
 Rehabilitation Programs
 Restorative and Long-Term Care
 Respite Care
 Palliative Care",,"Social Services, Activities, Nutritional Services, Housekeeping and Laundry Services.",87%,medicare and medicaid,"Daily Cost (Private Room) 
 $227
 Daily Cost (Semi-Private Room) 
 $215",
,,,,,,,,,,
389,Port Orange Nursing and Rehabilitation Center,"5600 Victoria Gardens Blvd, Port Orange, FL 32127(386) 760-7773",,"Rehabilitation Services, Nursing & Convalescent Homes",,,,medicare and medicaid,,
,,,,,,,,,,
390,Quality Health of Fernandina Beach,"1625 Lime Street, Fernandina Beach, FL 32034(904) 261-0771",,"24 hour a day nursing care and bed side call system
 -Medical Staff Physicians
 -Psychologist for evaluation and treatment if needed
 -Consulting services for optometry, dentistry, podiatry, and audiology
 -Dialysis Support",,"Sunday Church Services and Bible Studies
 -We are Wi Fi and offer email and social media assistance
 -Exercise and Stretching Programs
 -Live Music and Singing
 -Birthday Parties and Happy Hour
 -A Variety of Games including Bingo
 -Arts and Crafts
 -Seminars on Health Care Topics
 -Pet Therapy
 -Weekly Lunch Outings
 -Movies: New Releases and Favorites
 -Holiday and Special Day Parties & Barbecues",81%,medicare and medicaid,"Daily Cost (Private Room) 
 $185
 Daily Cost (Semi-Private Room) 
 $165",
,,,,,,,,,,
,,,,,,,,,,
391,Rehabilitation & Healthcare Center of Cape Coral,"2629 Del Prado Blvd, Cape Coral, FL 33904(239) 574-4434",,"Post-Acute Services
 Skilled Nursing Services
 Rehabilitation Programs
 Restorative and Long-Term Care
 Respite Care
 Palliative Care",,,97%,medicare and medicaid,"Daily Cost (Private Room) 
 $233
 Daily Cost (Semi-Private Room) 
 $203",
,,,,,,,,,,
392,Riverwood Center,"2802 Parental Home Road, Jacksonville, FL 32216(904) 721-0088",,nursing care,,,88%,medicare and medicaid,,
,,,,,,,,,,
393,Riviera Palms Rehabilitation Center,"926 Haben Blvd, Palmetto, FL 34221(941) 722-0553",,rehab center,,,93%,medicare and medicaid,"Daily Cost (Private Room) 
 $233
 Daily Cost (Semi-Private Room) 
 $189",
,,,,,,,,,,
394,Royal Care of Avon Park,"1213 W Stratford RD, Avon Park, FL 33825(863) 453-6674",,nursing care,,,92%,medicare and medicaid,"Daily Cost (Private Room) 
 $205
 Daily Cost (Semi-Private Room) 
 $195",
,,,,,,,,,,
